order_id,order_date,region,segment,category,product,customer_id,quantity,unit_price,discount,revenue,cost,profit
ORD-101164,2025-01-01,South,Home Office,Technology,Headset,C1029,3,276.49,0.1,746.52,419.85,326.67
ORD-100677,2025-01-01,South,Corporate,Technology,Laptop,C1031,2,534.63,0.0,1069.26,570.84,498.42
ORD-100648,2025-01-01,Midwest,Consumer,Office Supplies,Labels,C1087,5,44.02,0.0,220.1,104.72,115.38
ORD-101028,2025-01-01,Northeast,Consumer,Technology,Printer,C1162,7,278.43,0.0,1949.01,1101.37,847.64
ORD-100446,2025-01-01,West,Home Office,Furniture,Desk,C1250,5,115.99,0.0,579.95,375.87,204.08
ORD-100848,2025-01-01,Midwest,Consumer,Technology,Printer,C1131,2,399.6,0.0,799.2,561.78,237.42
ORD-100755,2025-01-01,South,Consumer,Technology,Printer,C1226,6,218.71,0.0,1312.26,976.46,335.8
ORD-100991,2025-01-01,West,Consumer,Furniture,Cabinet,C1061,2,162.31,0.15,275.93,203.48,72.45
ORD-101289,2025-01-02,Northeast,Corporate,Technology,Headset,C1277,2,188.93,0.0,377.86,194.85,183.01
ORD-100063,2025-01-02,Northeast,Home Office,Office Supplies,Pens,C1167,4,25.96,0.05,98.65,45.92,52.73
ORD-100263,2025-01-02,Midwest,Consumer,Technology,Keyboard,C1215,5,127.91,0.15,543.62,319.45,224.17
ORD-100206,2025-01-02,Midwest,Corporate,Furniture,Chair,C1208,3,360.62,0.0,1081.86,732.05,349.81
ORD-100895,2025-01-03,South,Consumer,Office Supplies,Pens,C1286,1,52.67,0.0,52.67,24.54,28.13
ORD-101518,2025-01-03,Northeast,Consumer,Office Supplies,Pens,C1231,2,43.42,0.1,78.16,51.73,26.43
ORD-101577,2025-01-03,West,Corporate,Office Supplies,Paper,C1155,3,66.08,0.0,198.24,88.47,109.77
ORD-100968,2025-01-04,Northeast,Corporate,Furniture,Cabinet,C1105,7,280.44,0.0,1963.08,1344.53,618.55
ORD-100948,2025-01-04,South,Home Office,Furniture,Desk,C1101,1,174.1,0.15,147.98,103.07,44.91
ORD-101328,2025-01-04,South,Consumer,Office Supplies,Storage,C1098,5,28.55,0.0,142.75,82.99,59.76
ORD-101486,2025-01-04,South,Corporate,Office Supplies,Storage,C1132,4,57.27,0.15,194.72,109.18,85.54
ORD-101723,2025-01-04,Midwest,Consumer,Furniture,Bookcase,C1026,2,86.51,0.1,155.72,88.44,67.28
ORD-100496,2025-01-04,South,Corporate,Office Supplies,Binders,C1064,6,65.93,0.0,395.58,191.86,203.72
ORD-100325,2025-01-04,Midwest,Home Office,Technology,Keyboard,C1197,2,256.75,0.1,462.15,345.59,116.56
ORD-101044,2025-01-05,Midwest,Consumer,Furniture,Chair,C1079,4,121.41,0.0,485.64,288.24,197.4
ORD-101561,2025-01-05,South,Consumer,Office Supplies,Storage,C1047,1,22.0,0.1,19.8,9.81,9.99
ORD-100128,2025-01-05,Northeast,Home Office,Technology,Printer,C1234,3,324.14,0.1,875.18,533.99,341.19
ORD-100613,2025-01-05,Midwest,Corporate,Furniture,Cabinet,C1224,4,322.95,0.1,1162.62,891.37,271.25
ORD-100842,2025-01-05,Northeast,Consumer,Office Supplies,Storage,C1063,4,76.55,0.05,290.89,162.05,128.84
ORD-100415,2025-01-05,Northeast,Corporate,Furniture,Chair,C1234,4,255.14,0.0,1020.56,736.96,283.6
ORD-100720,2025-01-05,Midwest,Home Office,Office Supplies,Paper,C1010,7,34.69,0.0,242.83,121.09,121.74
ORD-101091,2025-01-05,Northeast,Consumer,Furniture,Chair,C1158,5,146.27,0.05,694.78,495.72,199.06
ORD-100334,2025-01-06,South,Consumer,Office Supplies,Paper,C1078,2,65.04,0.0,130.08,64.27,65.81
ORD-100741,2025-01-06,Northeast,Corporate,Technology,Headset,C1054,7,214.78,0.0,1503.46,904.47,598.99
ORD-100964,2025-01-06,West,Home Office,Furniture,Chair,C1236,3,209.7,0.1,566.19,401.48,164.71
ORD-100934,2025-01-06,Northeast,Consumer,Office Supplies,Binders,C1085,5,57.51,0.0,287.55,132.19,155.36
ORD-100605,2025-01-07,Midwest,Corporate,Technology,Laptop,C1205,1,252.66,0.15,214.76,117.21,97.55
ORD-101650,2025-01-07,South,Home Office,Technology,Headset,C1127,2,400.46,0.0,800.92,464.08,336.84
ORD-101277,2025-01-07,Northeast,Corporate,Furniture,Cabinet,C1183,5,155.05,0.0,775.25,442.84,332.41
ORD-101714,2025-01-07,West,Consumer,Technology,Headset,C1115,2,347.74,0.0,695.48,425.99,269.49
ORD-101462,2025-01-07,South,Consumer,Office Supplies,Paper,C1149,7,49.12,0.0,343.84,126.5,217.34
ORD-100894,2025-01-07,West,Corporate,Technology,Laptop,C1251,1,297.56,0.15,252.93,167.74,85.19
ORD-101764,2025-01-08,Northeast,Consumer,Furniture,Bookcase,C1087,6,149.29,0.1,806.17,725.55,80.62
ORD-100687,2025-01-08,Midwest,Consumer,Technology,Printer,C1286,7,394.1,0.0,2758.7,1515.1,1243.6
ORD-100875,2025-01-08,South,Consumer,Technology,Printer,C1208,1,520.75,0.0,520.75,312.06,208.69
ORD-100828,2025-01-08,Midwest,Home Office,Furniture,Bookcase,C1072,5,289.58,0.0,1447.9,738.51,709.39
ORD-101250,2025-01-08,Midwest,Consumer,Office Supplies,Paper,C1290,5,39.77,0.1,178.97,105.89,73.08
ORD-100097,2025-01-09,Midwest,Home Office,Office Supplies,Labels,C1159,4,44.34,0.1,159.62,85.44,74.18
ORD-100601,2025-01-09,West,Consumer,Office Supplies,Labels,C1227,7,31.95,0.25,167.74,84.14,83.6
ORD-100269,2025-01-09,Northeast,Corporate,Office Supplies,Paper,C1019,5,35.85,0.0,179.25,88.38,90.87
ORD-101783,2025-01-09,Northeast,Corporate,Technology,Keyboard,C1052,5,302.4,0.25,1134.0,647.95,486.05
ORD-101319,2025-01-09,Northeast,Consumer,Technology,Printer,C1188,2,297.68,0.2,476.29,232.87,243.42
ORD-101567,2025-01-09,West,Consumer,Furniture,Bookcase,C1255,7,122.84,0.0,859.88,624.51,235.37
ORD-101597,2025-01-09,South,Consumer,Furniture,Table,C1251,1,238.74,0.0,238.74,181.96,56.78
ORD-101003,2025-01-10,South,Corporate,Furniture,Desk,C1278,2,87.52,0.0,175.04,98.3,76.74
ORD-100484,2025-01-10,Northeast,Consumer,Furniture,Desk,C1094,6,191.6,0.0,1149.6,801.85,347.75
ORD-100714,2025-01-10,South,Corporate,Office Supplies,Pens,C1159,1,23.82,0.2,19.06,10.99,8.07
ORD-101090,2025-01-10,Northeast,Corporate,Office Supplies,Paper,C1138,5,53.14,0.05,252.41,121.9,130.51
ORD-101292,2025-01-11,Midwest,Corporate,Technology,Keyboard,C1060,5,345.6,0.1,1555.2,842.81,712.39
ORD-101122,2025-01-11,Northeast,Home Office,Furniture,Desk,C1170,4,269.83,0.15,917.42,436.08,481.34
ORD-101379,2025-01-11,South,Consumer,Office Supplies,Storage,C1100,7,8.2,0.0,57.4,33.16,24.24
ORD-101538,2025-01-11,Northeast,Consumer,Technology,Monitor,C1125,3,207.26,0.0,621.78,408.72,213.06
ORD-101667,2025-01-12,West,Consumer,Office Supplies,Pens,C1075,5,11.13,0.1,50.09,25.3,24.79
ORD-100518,2025-01-12,Midwest,Corporate,Office Supplies,Paper,C1054,5,32.23,0.05,153.09,98.21,54.88
ORD-101700,2025-01-12,South,Consumer,Furniture,Cabinet,C1111,7,250.75,0.1,1579.72,988.44,591.28
ORD-101423,2025-01-12,Northeast,Corporate,Office Supplies,Labels,C1103,3,24.89,0.0,74.67,44.24,30.43
ORD-100681,2025-01-12,Northeast,Home Office,Technology,Printer,C1025,5,150.31,0.1,676.4,443.94,232.46
ORD-101433,2025-01-12,Northeast,Consumer,Furniture,Chair,C1225,1,207.41,0.05,197.04,144.53,52.51
ORD-101754,2025-01-12,South,Consumer,Furniture,Table,C1073,5,321.67,0.2,1286.68,844.94,441.74
ORD-100851,2025-01-12,West,Home Office,Technology,Keyboard,C1000,2,275.97,0.0,551.94,350.33,201.61
ORD-100151,2025-01-13,South,Consumer,Office Supplies,Binders,C1185,7,59.82,0.0,418.74,276.01,142.73
